"","Month","Name","Year","Elevation_ft"
"1","April","Big Hill Dam","2010",858.177666666667
"2","August","Big Hill Dam","2010",857.774838709677
"3","December","Big Hill Dam","2010",856.919032258064
"4","February","Big Hill Dam","2010",858.416785714286
"5","January","Big Hill Dam","2010",858.495161290323
"6","July","Big Hill Dam","2010",858.552258064516
"7","June","Big Hill Dam","2010",858.303333333333
"8","March","Big Hill Dam","2010",858.368064516129
"9","May","Big Hill Dam","2010",858.441612903226
"10","November","Big Hill Dam","2010",857.126333333333
"11","October","Big Hill Dam","2010",857.390967741935
"12","September","Big Hill Dam","2010",857.586333333333
"13","April","Cheney Dam","2010",1421.716
"14","August","Cheney Dam","2010",1421.72225806452
"15","December","Cheney Dam","2010",1421.52903225806
"16","February","Cheney Dam","2010",1421.80214285714
"17","January","Cheney Dam","2010",1421.77516129032
"18","July","Cheney Dam","2010",1425.17806451613
"19","June","Cheney Dam","2010",1422.97266666667
"20","March","Cheney Dam","2010",1421.75064516129
"21","May","Cheney Dam","2010",1421.9464516129
"22","November","Cheney Dam","2010",1421.19166666667
"23","October","Cheney Dam","2010",1421.18838709677
"24","September","Cheney Dam","2010",1421.51666666667
"25","April","Council Grove Dam","2010",1273.38266666667
"26","August","Council Grove Dam","2010",1273.99838709677
"27","December","Council Grove Dam","2010",1274.05516129032
"28","February","Council Grove Dam","2010",1273.06071428571
"29","January","Council Grove Dam","2010",1274.33548387097
"30","July","Council Grove Dam","2010",1276.55774193548
"31","June","Council Grove Dam","2010",1276.35833333333
"32","March","Council Grove Dam","2010",1273.21838709677
"33","May","Council Grove Dam","2010",1274.42096774194
"34","November","Council Grove Dam","2010",1274.03333333333
"35","October","Council Grove Dam","2010",1274.56419354839
"36","September","Council Grove Dam","2010",1274.114
"37","April","El Dorado Dam","2010",1339.07766666667
"38","August","El Dorado Dam","2010",1338.83774193548
"39","December","El Dorado Dam","2010",1337.81193548387
"40","February","El Dorado Dam","2010",1339.20607142857
"41","January","El Dorado Dam","2010",1339.20548387097
"42","July","El Dorado Dam","2010",1340.07387096774
"43","June","El Dorado Dam","2010",1340.564
"44","March","El Dorado Dam","2010",1339.49612903226
"45","May","El Dorado Dam","2010",1339.85387096774
"46","November","El Dorado Dam","2010",1338.10333333333
"47","October","El Dorado Dam","2010",1338.47129032258
"48","September","El Dorado Dam","2010",1338.597
"49","April","Elk City Dam","2010",794.710666666667
"50","August","Elk City Dam","2010",794.642258064516
"51","December","Elk City Dam","2010",795.289032258064
"52","February","Elk City Dam","2010",795.424642857143
"53","January","Elk City Dam","2010",796.585161290323
"54","July","Elk City Dam","2010",805.093870967742
"55","June","Elk City Dam","2010",797.399666666667
"56","March","Elk City Dam","2010",795.731612903226
"57","May","Elk City Dam","2010",795.767419354839
"58","November","Elk City Dam","2010",795.397666666667
"59","October","Elk City Dam","2010",795.5
"60","September","Elk City Dam","2010",795.199
"61","April","Fall River Dam","2010",949.167333333333
"62","August","Fall River Dam","2010",947.733548387097
"63","December","Fall River Dam","2010",946.614838709677
"64","February","Fall River Dam","2010",948.471785714286
"65","January","Fall River Dam","2010",948.154193548387
"66","July","Fall River Dam","2010",957.536129032258
"67","June","Fall River Dam","2010",955.819
"68","March","Fall River Dam","2010",950.511290322581
"69","May","Fall River Dam","2010",949.80064516129
"70","November","Fall River Dam","2010",946.456
"71","October","Fall River Dam","2010",946.467741935484
"72","September","Fall River Dam","2010",947.126333333333
"73","April","John Redmond Dam","2010",1038.34766666667
"74","August","John Redmond Dam","2010",1037.80032258065
"75","December","John Redmond Dam","2010",1038.86516129032
"76","February","John Redmond Dam","2010",1039.22964285714
"77","January","John Redmond Dam","2010",1039.70677419355
"78","July","John Redmond Dam","2010",1047.8435483871
"79","June","John Redmond Dam","2010",1048.63066666667
"80","March","John Redmond Dam","2010",1038.89419354839
"81","May","John Redmond Dam","2010",1041.13967741935
"82","November","John Redmond Dam","2010",1038.74966666667
"83","October","John Redmond Dam","2010",1038.25935483871
"84","September","John Redmond Dam","2010",1037.922
"85","April","Marion Dam","2010",1350.28266666667
"86","August","Marion Dam","2010",1350.20516129032
"87","December","Marion Dam","2010",1348.76387096774
"88","February","Marion Dam","2010",1349.92928571429
"89","January","Marion Dam","2010",1349.73806451613
"90","July","Marion Dam","2010",1351.81161290323
"91","June","Marion Dam","2010",1351.14166666667
"92","March","Marion Dam","2010",1350.21806451613
"93","May","Marion Dam","2010",1350.25032258065
"94","November","Marion Dam","2010",1350.40033333333
"95","October","Marion Dam","2010",1350.73741935484
"96","September","Marion Dam","2010",1350.333
"97","April","Toronto Dam","2010",902.604333333333
"98","August","Toronto Dam","2010",900.937741935484
"99","December","Toronto Dam","2010",899.25
"100","February","Toronto Dam","2010",902.419642857143
"101","January","Toronto Dam","2010",901.587096774194
"102","July","Toronto Dam","2010",905.68935483871
"103","June","Toronto Dam","2010",911.102666666667
"104","March","Toronto Dam","2010",904.886129032258
"105","May","Toronto Dam","2010",904.497096774194
"106","November","Toronto Dam","2010",899.093666666667
"107","October","Toronto Dam","2010",899.379032258065
"108","September","Toronto Dam","2010",900.235
"109","April","Big Hill Dam","2011",858.330333333333
"110","August","Big Hill Dam","2011",856.83064516129
"111","December","Big Hill Dam","2011",857.062258064516
"112","February","Big Hill Dam","2011",856.932857142857
"113","January","Big Hill Dam","2011",856.775483870968
"114","July","Big Hill Dam","2011",857.329677419355
"115","June","Big Hill Dam","2011",857.973333333333
"116","March","Big Hill Dam","2011",858.125806451613
"117","May","Big Hill Dam","2011",858.283548387097
"118","November","Big Hill Dam","2011",856.449333333333
"119","October","Big Hill Dam","2011",855.928064516129
"120","April","Cheney Dam","2011",1421.61566666667
"121","August","Cheney Dam","2011",1419.00129032258
"122","December","Cheney Dam","2011",1416.98161290323
"123","February","Cheney Dam","2011",1421.77678571429
"124","January","Cheney Dam","2011",1421.75709677419
"125","July","Cheney Dam","2011",1419.98516129032
"126","June","Cheney Dam","2011",1420.97966666667
"127","March","Cheney Dam","2011",1421.6964516129
"128","May","Cheney Dam","2011",1421.39064516129
"129","November","Cheney Dam","2011",1416.84733333333
"130","October","Cheney Dam","2011",1417.22580645161
"131","September","Cheney Dam","2011",1417.97733333333
"132","April","Council Grove Dam","2011",1273.587
"133","August","Council Grove Dam","2011",1272.80709677419
"134","December","Council Grove Dam","2011",1271.60129032258
"135","February","Council Grove Dam","2011",1272.77357142857
"136","January","Council Grove Dam","2011",1273.84580645161
"137","July","Council Grove Dam","2011",1273.55225806452
"138","June","Council Grove Dam","2011",1274.194
"139","March","Council Grove Dam","2011",1272.72483870968
"140","May","Council Grove Dam","2011",1274.28387096774
"141","November","Council Grove Dam","2011",1270.85133333333
"142","October","Council Grove Dam","2011",1271.18967741935
"143","September","Council Grove Dam","2011",1271.85666666667
"144","April","El Dorado Dam","2011",1338.37166666667
"145","August","El Dorado Dam","2011",1336.77258064516
"146","December","El Dorado Dam","2011",1335.42838709677
"147","February","El Dorado Dam","2011",1337.62892857143
"148","January","El Dorado Dam","2011",1337.61580645161
"149","July","El Dorado Dam","2011",1337.62129032258
"150","June","El Dorado Dam","2011",1338.34933333333
"151","March","El Dorado Dam","2011",1338.38193548387
"152","May","El Dorado Dam","2011",1338.2664516129
"153","November","El Dorado Dam","2011",1335.168
"154","October","El Dorado Dam","2011",1335.46225806452
"155","September","El Dorado Dam","2011",1336.02066666667
"156","April","Elk City Dam","2011",795.235666666667
"157","August","Elk City Dam","2011",793.75
"158","December","Elk City Dam","2011",795.382580645161
"159","February","Elk City Dam","2011",795.405
"160","January","Elk City Dam","2011",795.24935483871
"161","July","Elk City Dam","2011",794.28
"162","June","Elk City Dam","2011",795.333333333333
"163","March","Elk City Dam","2011",793.681612903226
"164","May","Elk City Dam","2011",796.475161290323
"165","November","Elk City Dam","2011",793.809
"166","October","Elk City Dam","2011",792.598709677419
"167","September","Elk City Dam","2011",793.192333333333
"168","April","Fall River Dam","2011",948.723
"169","August","Fall River Dam","2011",948.256129032258
"170","December","Fall River Dam","2011",948.08
"171","February","Fall River Dam","2011",947.090714285714
"172","January","Fall River Dam","2011",946.670967741935
"173","July","Fall River Dam","2011",949.225806451613
"174","June","Fall River Dam","2011",950.046
"175","March","Fall River Dam","2011",948.852903225806
"176","May","Fall River Dam","2011",949.512903225806
"177","November","Fall River Dam","2011",946.541
"178","October","Fall River Dam","2011",946.762258064516
"179","September","Fall River Dam","2011",947.401333333333
"180","April","John Redmond Dam","2011",1037.989
"181","August","John Redmond Dam","2011",1037.30516129032
"182","December","John Redmond Dam","2011",1036.73419354839
"183","February","John Redmond Dam","2011",1038.66035714286
"184","January","John Redmond Dam","2011",1037.28935483871
"185","July","John Redmond Dam","2011",1037.89
"186","June","John Redmond Dam","2011",1037.88666666667
"187","March","John Redmond Dam","2011",1038.77516129032
"188","May","John Redmond Dam","2011",1037.78161290323
"189","November","John Redmond Dam","2011",1035.35633333333
"190","October","John Redmond Dam","2011",1035.9135483871
"191","September","John Redmond Dam","2011",1036.27866666667
"192","April","Marion Dam","2011",1349.14966666667
"193","August","Marion Dam","2011",1348.02193548387
